country,period,scenario,value
ZAF,2005,shared,3411409882751.5645
ZAF,2006,shared,3602578678405.883
ZAF,2007,shared,3602578678405.883
ZAF,2008,shared,3916816252461.046
ZAF,2009,shared,3856572134210.3213
ZAF,2010,shared,3973801603311.196
ZAF,2011,shared,4099713743523.5083
ZAF,2012,shared,4197952411913.467
ZAF,2013,shared,4302291176143.1406
ZAF,2014,shared,4363118106800.599
ZAF,2015,shared,4420792517414.472
ZAF,2016,shared,4450170996114.515
ZAF,2017,shared,4501701615484.83
ZAF,2018,shared,4568669710783.134
ZAF,2019,shared,4573834760819.281
ZAF,2020,shared,4279646860386.556
ZAF,2021,shared,4513043919695.861
ZAF,2022,shared,4599261389164.597
ZAF,2023,shared,4638499639146.34
ZAF,2024,shared,4659294000000
ZAF,2025,shared,4679355000000
ZAF,2026,high_demand,4754224680000
ZAF,2026,low_demand,4726148550000
ZAF,2027,high_demand,4830292274880
ZAF,2027,low_demand,4773410035500
ZAF,2028,high_demand,4907576951278.08
ZAF,2028,low_demand,4821144135855
ZAF,2029,high_demand,4986098182498.529
ZAF,2029,low_demand,4869355577213.55
ZAF,2030,high_demand,5065875753418.506
ZAF,2030,low_demand,4918049132985.686
ZAF,2031,high_demand,5146929765473.202
ZAF,2031,low_demand,4967229624315.542
ZAF,2032,high_demand,5229280641720.773
ZAF,2032,low_demand,5016901920558.697
ZAF,2033,high_demand,5312949131988.306
ZAF,2033,low_demand,5067070939764.284
ZAF,2034,high_demand,5397956318100.118
ZAF,2034,low_demand,5117741649161.927
ZAF,2035,high_demand,5484323619189.72
ZAF,2035,low_demand,5168919065653.546
ZAF,2036,high_demand,5572072797096.755
ZAF,2036,low_demand,5220608256310.081
ZAF,2037,high_demand,5661225961850.303
ZAF,2037,low_demand,5272814338873.182
ZAF,2038,high_demand,5751805577239.907
ZAF,2038,low_demand,5325542482261.913
ZAF,2039,high_demand,5843834466475.746
ZAF,2039,low_demand,5378797907084.532
ZAF,2040,high_demand,5937335817939.358
ZAF,2040,low_demand,5432585886155.378
ZAF,2041,high_demand,6032333191026.389
ZAF,2041,low_demand,5486911745016.932
ZAF,2042,high_demand,6128850522082.811
ZAF,2042,low_demand,5541780862467.101
ZAF,2043,high_demand,6226912130436.136
ZAF,2043,low_demand,5597198671091.771
ZAF,2044,high_demand,6326542724523.114
ZAF,2044,low_demand,5653170657802.689
ZAF,2045,high_demand,6427767408115.484
ZAF,2045,low_demand,5709702364380.717
ZAF,2046,high_demand,6530611686645.332
ZAF,2046,low_demand,5766799388024.524
ZAF,2047,high_demand,6635101473631.657
ZAF,2047,low_demand,5824467381904.77
ZAF,2048,high_demand,6741263097209.764
ZAF,2048,low_demand,5882712055723.817
ZAF,2049,high_demand,6849123306765.12
ZAF,2049,low_demand,5941539176281.056
ZAF,2050,high_demand,6958709279673.362
ZAF,2050,low_demand,6000954568043.866
