country,period,scenario,value
ZAF,2020,high_demand,-0.06431974826743181
ZAF,2021,high_demand,0.049
ZAF,2022,high_demand,0.019
ZAF,2023,high_demand,0.009999999999999998
ZAF,2024,high_demand,0.015
ZAF,2025,high_demand,0.017
ZAF,2026,high_demand,0.016
ZAF,2027,high_demand,0.016
ZAF,2028,high_demand,0.016
ZAF,2029,high_demand,0.016
ZAF,2030,high_demand,0.016
ZAF,2031,high_demand,0.016
ZAF,2032,high_demand,0.016
ZAF,2033,high_demand,0.016
ZAF,2034,high_demand,0.016
ZAF,2035,high_demand,0.016
ZAF,2036,high_demand,0.016
ZAF,2037,high_demand,0.016
ZAF,2038,high_demand,0.016
ZAF,2039,high_demand,0.016
ZAF,2040,high_demand,0.016
ZAF,2041,high_demand,0.016
ZAF,2042,high_demand,0.016
ZAF,2043,high_demand,0.016
ZAF,2044,high_demand,0.016
ZAF,2045,high_demand,0.016
ZAF,2046,high_demand,0.016
ZAF,2047,high_demand,0.016
ZAF,2048,high_demand,0.016
ZAF,2049,high_demand,0.016
ZAF,2050,high_demand,0.016
ZAF,2021,low_demand,0.049
ZAF,2022,low_demand,0.016
ZAF,2023,low_demand,0.004999999999999999
ZAF,2024,low_demand,0.015
ZAF,2025,low_demand,0.017
ZAF,2026,low_demand,0.009999999999999998
ZAF,2027,low_demand,0.009999999999999998
ZAF,2028,low_demand,0.009999999999999998
ZAF,2029,low_demand,0.009999999999999998
ZAF,2030,low_demand,0.009999999999999998
ZAF,2031,low_demand,0.009999999999999998
ZAF,2032,low_demand,0.009999999999999998
ZAF,2033,low_demand,0.009999999999999998
ZAF,2034,low_demand,0.009999999999999998
ZAF,2035,low_demand,0.009999999999999998
ZAF,2036,low_demand,0.009999999999999998
ZAF,2037,low_demand,0.009999999999999998
ZAF,2038,low_demand,0.009999999999999998
ZAF,2039,low_demand,0.009999999999999998
ZAF,2040,low_demand,0.009999999999999998
ZAF,2041,low_demand,0.009999999999999998
ZAF,2042,low_demand,0.009999999999999998
ZAF,2043,low_demand,0.009999999999999998
ZAF,2044,low_demand,0.009999999999999998
ZAF,2045,low_demand,0.009999999999999998
ZAF,2046,low_demand,0.009999999999999998
ZAF,2047,low_demand,0.009999999999999998
ZAF,2048,low_demand,0.009999999999999998
ZAF,2049,low_demand,0.009999999999999998
ZAF,2050,low_demand,0.009999999999999998
