country,period,scenario,value
ZAF,2005,shared,71248.2767340624
ZAF,2006,shared,74296.11262368012
ZAF,2007,shared,77274.26804462152
ZAF,2008,shared,78683.36274159448
ZAF,2009,shared,76402.54256348967
ZAF,2010,shared,77587.60106413947
ZAF,2011,shared,78834.95005665856
ZAF,2012,shared,79457.52667707803
ZAF,2013,shared,80136.36744644346
ZAF,2014,shared,79992.36191342783
ZAF,2015,shared,79117.19955519178
ZAF,2016,shared,78872.59198582664
ZAF,2017,shared,79477.49731131857
ZAF,2018,shared,79677.34204766274
ZAF,2019,shared,78741.03379521101
ZAF,2020,shared,72780.72469268832
ZAF,2021,shared,75987.07810801023
ZAF,2022,shared,76790.1650122451
ZAF,2023,shared,76777.92621036293
ZAF,2024,shared,76356.55727959426
ZAF,2025,shared,75873.5403538539
ZAF,2026,high_demand,76305.62080219547
ZAF,2026,low_demand,75854.99705730061
ZAF,2027,high_demand,76770.1127412939
ZAF,2027,low_demand,75866.05648927581
ZAF,2028,high_demand,77267.03031188184
ZAF,2028,low_demand,75906.194397226
ZAF,2029,high_demand,77793.85014588524
ZAF,2029,low_demand,75972.41454458526
ZAF,2030,high_demand,78347.23662423984
ZAF,2030,low_demand,76060.99673716872
ZAF,2031,high_demand,78904.55961677714
ZAF,2031,low_demand,76149.68221467329
ZAF,2032,high_demand,79465.847125887
ZAF,2032,low_demand,76238.47109752694
ZAF,2033,high_demand,80031.12735315424
ZAF,2033,low_demand,76327.3635062981
ZAF,2034,high_demand,80600.42870077565
ZAF,2034,low_demand,76416.35956169573
ZAF,2035,high_demand,81173.77977298702
ZAF,2035,low_demand,76505.45938456958
ZAF,2036,high_demand,81751.20937750032
ZAF,2036,low_demand,76594.66309591026
ZAF,2037,high_demand,82332.74652695116
ZAF,2037,low_demand,76683.97081684948
ZAF,2038,high_demand,82918.42044035652
ZAF,2038,low_demand,76773.38266866018
ZAF,2039,high_demand,83508.26054458284
ZAF,2039,low_demand,76862.89877275671
ZAF,2040,high_demand,84102.2964758245
ZAF,2040,low_demand,76952.519250695
ZAF,2041,high_demand,84700.55808109297
ZAF,2041,low_demand,77042.24422417265
ZAF,2042,high_demand,85303.07541971635
ZAF,2042,low_demand,77132.07381502923
ZAF,2043,high_demand,85909.87876484981
ZAF,2043,low_demand,77222.00814524635
ZAF,2044,high_demand,86520.99860499654
ZAF,2044,low_demand,77312.04733694781
ZAF,2045,high_demand,87136.46564553965
ZAF,2045,low_demand,77402.19151239986
ZAF,2046,high_demand,87756.310810285
ZAF,2046,low_demand,77492.44079401127
ZAF,2047,high_demand,88380.5652430149
ZAF,2047,low_demand,77582.79530433354
ZAF,2048,high_demand,89009.26030905296
ZAF,2048,low_demand,77673.2551660611
ZAF,2049,high_demand,89642.42759683992
ZAF,2049,low_demand,77763.82050203138
ZAF,2050,high_demand,90280.0989195209
ZAF,2050,low_demand,77854.49143522508
