country,period,scenario,product,value
ZAF,2005,shared,petrol_95,8672978432.0
ZAF,2006,shared,petrol_95,11278412253.0
ZAF,2007,shared,petrol_95,11568813336.0
ZAF,2008,shared,petrol_95,11086938407.0
ZAF,2009,shared,petrol_95,11321186218.0
ZAF,2010,shared,petrol_95,11788234670.0
ZAF,2011,shared,petrol_95,12278314707.0
ZAF,2012,shared,petrol_95,12060330013.0
ZAF,2013,shared,petrol_95,11439925235.0
ZAF,2014,shared,petrol_95,10890207679.0
ZAF,2015,shared,petrol_95,11475709420.0
ZAF,2016,shared,petrol_95,11462252467.0
ZAF,2017,shared,petrol_95,11174082981.0
ZAF,2018,shared,petrol_95,11141630546.0
ZAF,2019,shared,petrol_95,10773208065.0
ZAF,2020,shared,petrol_95,8761470961.0
ZAF,2021,shared,petrol_95,9301584229.0
ZAF,2022,shared,petrol_95,9184869915.540989
ZAF,2023,shared,petrol_95,9981346432.359999
ZAF,2024,shared,petrol_95,9047482712.560001
ZAF,2025,shared,petrol_95,9267777736.810001
ZAF,2005,shared,diesel_50ppm,8116573441.0
ZAF,2006,shared,diesel_50ppm,8707405264.0
ZAF,2007,shared,diesel_50ppm,10141584286.0
ZAF,2008,shared,diesel_50ppm,10385030955.0
ZAF,2009,shared,diesel_50ppm,9437131324.0
ZAF,2010,shared,diesel_50ppm,10451548684.0
ZAF,2011,shared,diesel_50ppm,11470381512.0
ZAF,2012,shared,diesel_50ppm,11663340680.0
ZAF,2013,shared,diesel_50ppm,12141281548.0
ZAF,2014,shared,diesel_50ppm,12615023359.0
ZAF,2015,shared,diesel_50ppm,13520139252.0
ZAF,2016,shared,diesel_50ppm,12082374038.0
ZAF,2017,shared,diesel_50ppm,12147245168.0
ZAF,2018,shared,diesel_50ppm,12538744326.0
ZAF,2019,shared,diesel_50ppm,12908631233.0
ZAF,2020,shared,diesel_50ppm,11689957758.0
ZAF,2021,shared,diesel_50ppm,12945782751.0
ZAF,2022,shared,diesel_50ppm,13777720342.985655
ZAF,2023,shared,diesel_50ppm,13967062497.75
ZAF,2024,shared,diesel_50ppm,11878421413.53
ZAF,2025,shared,diesel_50ppm,12611283774.790003
ZAF,2010,shared,jet_a1,2460460646.0
ZAF,2011,shared,jet_a1,2562518279.0
ZAF,2012,shared,jet_a1,2461375625.0
ZAF,2013,shared,jet_a1,2335193738.0
ZAF,2014,shared,jet_a1,2315233957.0
ZAF,2015,shared,jet_a1,2477655021.0
ZAF,2016,shared,jet_a1,2616374955.0
ZAF,2017,shared,jet_a1,2726423717.0
ZAF,2018,shared,jet_a1,2356724442.0
ZAF,2019,shared,jet_a1,2449505137.0
ZAF,2020,shared,jet_a1,1098369094.0
ZAF,2021,shared,jet_a1,1054945939.0
ZAF,2022,shared,jet_a1,1482846283.9199998
ZAF,2023,shared,jet_a1,1850517638.0579998
ZAF,2024,shared,jet_a1,1866043613.66
ZAF,2019,shared,jet_a1,382360195.171468
ZAF,2020,shared,jet_a1,122154607.437855
ZAF,2021,shared,jet_a1,155933421.062
ZAF,2022,shared,jet_a1,360986693.648
ZAF,2023,shared,jet_a1,408876001.14199996
ZAF,2019,shared,jet_a1,2084348.915
ZAF,2020,shared,jet_a1,1116111.3939999999
ZAF,2021,shared,jet_a1,904990.276
ZAF,2022,shared,jet_a1,1193171.0
ZAF,2023,shared,jet_a1,722286.0
ZAF,2019,shared,jet_a1,0.15694784145100563
ZAF,2020,shared,jet_a1,0.11223068768903599
ZAF,2021,shared,jet_a1,0.1486696194325381
ZAF,2022,shared,jet_a1,0.19569941513379274
ZAF,2023,shared,jet_a1,0.2225125119945074
