country,period,scenario,value
ZAF,2020,shared,21000000
ZAF,2021,shared,5000000
ZAF,2022,shared,11000000
ZAF,2023,shared,16000000
ZAF,2024,shared,17000000
ZAF,2025,shared,19000000
ZAF,2026,shared,21000000.000000004
ZAF,2027,shared,22366222.610112537
ZAF,2028,shared,23832226.837557185
ZAF,2029,shared,25394320.978455253
ZAF,2030,shared,27058803.289861277
ZAF,2031,shared,28832384.850951277
ZAF,2032,shared,30722216.621636357
ZAF,2033,shared,32735918.27474543
ZAF,2034,shared,34881608.91802647
ZAF,2035,shared,37167939.829835296
ZAF,2036,shared,39604129.34049995
ZAF,2037,shared,42199999.99999999
ZAF,2038,shared,44966018.18181817
ZAF,2039,shared,47913336.28264462
ZAF,2040,shared,51053837.68807978
ZAF,2041,shared,54400184.68563483
ZAF,2042,shared,57965869.51821144
ZAF,2043,shared,61765268.78390512
ZAF,2044,shared,65813701.40146836
ZAF,2045,shared,70127490.37514642
ZAF,2046,shared,74724028.60791738
ZAF,2047,shared,79621849.02849089
ZAF,2048,shared,84840699.31481288
ZAF,2049,shared,90401621.51535653
ZAF,2050,shared,96327036.88922672
