country,period,scenario,value
ZAF,2005,shared,47880595
ZAF,2006,shared,48489464
ZAF,2007,shared,49119766
ZAF,2008,shared,49779472
ZAF,2009,shared,50477013
ZAF,2010,shared,51216967
ZAF,2011,shared,52003759
ZAF,2012,shared,52832659
ZAF,2013,shared,53687125
ZAF,2014,shared,54544184
ZAF,2015,shared,55876504
ZAF,2016,shared,56422274
ZAF,2017,shared,56641210
ZAF,2018,shared,57339635
ZAF,2019,shared,58087055
ZAF,2020,shared,58801927
ZAF,2021,shared,59392255
ZAF,2022,shared,59893886
ZAF,2023,shared,60414495
ZAF,2024,shared,61020221
ZAF,2025,shared,61673081
ZAF,2026,shared,62305039
ZAF,2027,shared,62918916
ZAF,2028,shared,63514502
ZAF,2029,shared,64093732
ZAF,2030,shared,64659278
ZAF,2031,shared,65229814.227096096
ZAF,2032,shared,65805384.71372149
ZAF,2033,shared,66386033.88083984
ZAF,2034,shared,66971806.541373536
ZAF,2035,shared,67562747.90366225
ZAF,2036,shared,68158903.57495199
ZAF,2037,shared,68760319.56491494
ZAF,2038,shared,69367042.28920037
ZAF,2039,shared,69979118.57301684
ZAF,2040,shared,70596595.65474607
ZAF,2041,shared,71219521.1895887
ZAF,2042,shared,71847943.25324209
ZAF,2043,shared,72481910.34561078
ZAF,2044,shared,73121471.39454953
ZAF,2045,shared,73766675.75963944
ZAF,2046,shared,74417573.23599738
ZAF,2047,shared,75074214.05811904
ZAF,2048,shared,75736648.90375595
ZAF,2049,shared,76404928.89782657
ZAF,2050,shared,77079105.61636202
